company,tax_id,license,address,fit_hint
Công ty Cổ phần Skale,0316799967,9795/2024/26/SLĐTBXH-VLATLĐ,"11 Huỳnh Đình Hai, Phường 14, quận Bình Thạnh",
Công ty TNHH Minami Gumi Việt Nam,0313567527,11814/2024/28/SLĐTBXH-VLATLĐ,"23 Huỳnh Đình Hai, Phường 14, quận Bình Thạnh",
Công ty TNHH Freecracy Việt Nam,0315334084,24526/2024/53/SLĐTBXH-VLATLĐ,"Lầu 6, Tòa nhà Bcons Tower II, số 42/1 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh",
Doanh nghiệp tư nhân Mai Ngân,0304324408,9918,"383 Thống Nhất, Phường 11, quận Gò Vấp",
Công ty TNHH Rbox Việt Nam,0315054545,41980/2021/10/SLĐTBXH-VLATLĐ,"672A29 Phan Văn Trị, Phường 10, Quận Gò Vấp",
Công ty Cổ phần Giao Thông Vận Tải Nam Việt,0312578371,25811/2022/21/SLĐTBXH-VLATLĐ,"417/4 Tân Sơn, Phường 12, Quận Gò Vấp",
Công ty TNHH Remoly (Vietnam),0318182136,26842/2024/54/SLĐTBXH-VLATLĐ,"Số 269/18 Thống Nhất, Phường 11, quận Gò Vấp",
Công ty cổ Phần Tư Vấn Và Thương Mại Kiến Vàng,0314283503,4036/2024/15/SLĐTBXH-VLATLĐ,"108 đường số 6, Khu Nhà Ở Rạch Bà Tánh, Ấp 5, xã Bình Hưng, huyện Bình Chánh",
Công ty TNHH Thương mại và Dịch vụ Lao động mặt Trời Mới,0315355101,3212/2023/04/SLĐTBXH-VLATLĐ,"27/7I Ấp Mới 2, Xã Trung Chánh, Huyện Hóc Môn",
Công ty Cổ phần Cung Ứng Lao Động Chất Lượng Toàn Cầu 247,0318198432,20509/2024/40/SLĐTBXH-VLATLĐ,"158/15/2 Ấp 3, xã Xuân Thới Thượng, huyện Hóc Môn",
Công ty TNHH Cung Ứng Nguồn Nhân Lực Logistics,0318430981,21630/2024/43/SLĐTBXH-VLATLĐ,"27A Ấp Hậu Lân, xã Bà Điểm, huyện Hóc Môn",yes
